onset	duration	trial_type	stim_file
1.0	1	B-1st	10.png
2.0	1	B-2nd	2.png
4.0	1	B-3rd	4.png
12.0	1	D-2nd	9.png
18.0	1	D-3rd	11.png
20.0	1	A-1st	6.png
24.0	1	A-2nd	7.png
26.0	1	A-3rd	8.png
28.0	1	C-1st	1.png
30.0	1	C-2nd	5.png
36.0	1	D-1st	12.png
38.0	1	D-2nd	9.png
40.0	1	D-3rd	11.png
44.0	1	C-1st	1.png
46.0	1	C-2nd	5.png
48.0	1	C-3rd	3.png
52.0	1	A-1st	6.png
56.0	1	A-2nd	7.png
62.0	1	A-3rd	8.png
64.0	1	B-1st	10.png
66.0	1	B-2nd	2.png
68.0	1	B-3rd	4.png
70.0	1	C-1st	1.png
74.0	1	C-2nd	5.png
76.0	1	C-3rd	3.png
80.0	1	B-1st	10.png
82.0	1	B-2nd	2.png
90.0	1	A-1st	6.png
96.0	1	A-2nd	7.png
100.0	1	A-3rd	8.png
108.0	1	D-2nd	9.png
110.0	1	D-3rd	11.png
112.0	1	C-1st	1.png
114.0	1	C-2nd	5.png
120.0	1	C-3rd	3.png
124.0	1	D-1st	12.png
126.0	1	D-2nd	9.png
128.0	1	D-3rd	11.png
130.0	1	A-1st	6.png
134.0	1	A-2nd	7.png
140.0	1	A-3rd	8.png
142.0	1	B-1st	10.png
148.0	1	B-2nd	2.png
152.0	1	B-3rd	4.png
156.0	1	A-1st	6.png
160.0	1	A-2nd	7.png
162.0	1	A-3rd	8.png
166.0	1	B-2nd	2.png
168.0	1	B-3rd	4.png
176.0	1	D-2nd	9.png
178.0	1	D-3rd	11.png
180.0	1	C-1st	1.png
182.0	1	C-2nd	5.png
186.0	1	C-3rd	3.png
188.0	1	B-1st	10.png
190.0	1	B-2nd	2.png
196.0	1	A-1st	6.png
198.0	1	A-2nd	7.png
202.0	1	A-3rd	8.png
204.0	1	D-1st	12.png
208.0	1	D-2nd	9.png
212.0	1	D-3rd	11.png
214.0	1	C-1st	1.png
216.0	1	C-2nd	5.png
222.0	1	C-3rd	3.png
