onset	duration	trial_type	stim_file
0.0	1.0	C-1st	10.png
8.0	1.0	B-2nd	6.png
12.0	1.0	C-3rd	2.png
14.0	1.0	C-2nd	7.png
16.0	1.0	D-2nd	9.png
20.0	1.0	B-3rd	11.png
22.0	1.0	A-1st	5.png
24.0	1.0	D-3rd	3.png
28.0	1.0	B-1st	8.png
30.0	1.0	A-2nd	4.png
34.0	1.0	A-3rd	1.png
36.0	1.0	D-1st	12.png
48.0	1.0	C-2nd	7.png
50.0	1.0	C-1st	10.png
52.0	1.0	B-3rd	11.png
54.0	1.0	D-3rd	3.png
58.0	1.0	A-2nd	4.png
60.0	1.0	B-2nd	6.png
62.0	1.0	D-2nd	9.png
66.0	1.0	B-1st	8.png
68.0	1.0	A-3rd	1.png
70.0	1.0	C-3rd	2.png
72.0	1.0	D-1st	12.png
74.0	1.0	D-3rd	3.png
78.0	1.0	C-3rd	2.png
80.0	1.0	A-2nd	4.png
86.0	1.0	A-1st	5.png
88.0	1.0	B-1st	8.png
92.0	1.0	C-1st	10.png
94.0	1.0	B-2nd	6.png
96.0	1.0	B-3rd	11.png
100.0	1.0	A-3rd	1.png
106.0	1.0	C-2nd	7.png
