onset	duration	trial_type	stim_file
1.0	1	B-1st	1.png
2.0	1	B-2nd	2.png
8.0	1	B-3rd	6.png
12.0	1	D-2nd	11.png
16.0	1	D-3rd	7.png
18.0	1	A-1st	9.png
22.0	1	A-2nd	8.png
24.0	1	A-3rd	10.png
28.0	1	C-1st	5.png
30.0	1	C-2nd	12.png
32.0	1	C-3rd	3.png
34.0	1	D-1st	4.png
40.0	1	D-2nd	11.png
42.0	1	D-3rd	7.png
44.0	1	C-1st	5.png
52.0	1	C-3rd	3.png
54.0	1	B-1st	1.png
56.0	1	B-2nd	2.png
62.0	1	B-3rd	6.png
64.0	1	A-1st	9.png
70.0	1	A-2nd	8.png
72.0	1	A-3rd	10.png
74.0	1	D-1st	4.png
80.0	1	D-2nd	11.png
82.0	1	D-3rd	7.png
90.0	1	A-2nd	8.png
92.0	1	A-3rd	10.png
94.0	1	B-1st	1.png
100.0	1	B-3rd	6.png
102.0	1	C-1st	5.png
104.0	1	C-2nd	12.png
106.0	1	C-3rd	3.png
108.0	1	B-1st	1.png
110.0	1	B-2nd	2.png
112.0	1	B-3rd	6.png
116.0	1	D-1st	4.png
120.0	1	D-2nd	11.png
124.0	1	D-3rd	7.png
126.0	1	A-1st	9.png
130.0	1	A-2nd	8.png
134.0	1	A-3rd	10.png
138.0	1	C-1st	5.png
142.0	1	C-2nd	12.png
148.0	1	A-1st	9.png
154.0	1	A-2nd	8.png
158.0	1	A-3rd	10.png
164.0	1	D-1st	4.png
166.0	1	D-2nd	11.png
172.0	1	D-3rd	7.png
174.0	1	C-1st	5.png
178.0	1	C-2nd	12.png
180.0	1	C-3rd	3.png
182.0	1	B-1st	1.png
188.0	1	B-3rd	6.png
192.0	1	D-1st	4.png
194.0	1	D-2nd	11.png
196.0	1	D-3rd	7.png
198.0	1	B-1st	1.png
202.0	1	B-2nd	2.png
204.0	1	B-3rd	6.png
210.0	1	C-1st	5.png
212.0	1	C-2nd	12.png
214.0	1	C-3rd	3.png
220.0	1	A-2nd	8.png
222.0	1	A-3rd	10.png
