onset	duration	trial_type	stim_file
1.0	1	C-1st	1.png
2.0	1	C-2nd	4.png
4.0	1	C-3rd	2.png
10.0	1	B-1st	7.png
14.0	1	B-2nd	12.png
16.0	1	B-3rd	5.png
18.0	1	D-1st	10.png
20.0	1	D-2nd	11.png
22.0	1	D-3rd	8.png
24.0	1	A-1st	9.png
26.0	1	A-2nd	3.png
30.0	1	A-3rd	6.png
36.0	1	C-1st	1.png
38.0	1	C-2nd	4.png
44.0	1	C-3rd	2.png
46.0	1	D-1st	10.png
50.0	1	D-2nd	11.png
52.0	1	D-3rd	8.png
54.0	1	A-1st	9.png
58.0	1	A-2nd	3.png
60.0	1	A-3rd	6.png
62.0	1	B-1st	7.png
66.0	1	B-2nd	12.png
72.0	1	B-3rd	5.png
76.0	1	A-1st	9.png
78.0	1	A-2nd	3.png
80.0	1	A-3rd	6.png
82.0	1	B-1st	7.png
88.0	1	B-2nd	12.png
92.0	1	B-3rd	5.png
96.0	1	C-1st	1.png
98.0	1	C-2nd	4.png
100.0	1	C-3rd	2.png
102.0	1	D-1st	10.png
104.0	1	D-2nd	11.png
106.0	1	D-3rd	8.png
108.0	1	B-1st	7.png
110.0	1	B-2nd	12.png
114.0	1	B-3rd	5.png
116.0	1	A-1st	9.png
120.0	1	A-2nd	3.png
122.0	1	A-3rd	6.png
126.0	1	D-1st	10.png
128.0	1	D-2nd	11.png
130.0	1	D-3rd	8.png
132.0	1	C-1st	1.png
138.0	1	C-2nd	4.png
142.0	1	C-3rd	2.png
144.0	1	D-1st	10.png
150.0	1	D-2nd	11.png
156.0	1	D-3rd	8.png
162.0	1	B-1st	7.png
164.0	1	B-2nd	12.png
166.0	1	B-3rd	5.png
170.0	1	A-1st	9.png
172.0	1	A-2nd	3.png
174.0	1	A-3rd	6.png
180.0	1	C-1st	1.png
182.0	1	C-2nd	4.png
186.0	1	C-3rd	2.png
190.0	1	B-1st	7.png
194.0	1	B-2nd	12.png
198.0	1	B-3rd	5.png
200.0	1	D-1st	10.png
202.0	1	D-2nd	11.png
204.0	1	D-3rd	8.png
208.0	1	A-1st	9.png
210.0	1	A-2nd	3.png
214.0	1	A-3rd	6.png
218.0	1	C-1st	1.png
220.0	1	C-2nd	4.png
222.0	1	C-3rd	2.png
