onset	duration	trial_type	stim_file
0.0	1	D-1st	7.png
2.0	1	D-2nd	6.png
4.0	1	D-3rd	12.png
6.0	1	B-1st	3.png
8.0	1	B-2nd	4.png
10.0	1	B-3rd	5.png
12.0	1	A-1st	11.png
18.0	1	A-2nd	10.png
24.0	1	A-3rd	1.png
28.0	1	C-1st	2.png
30.0	1	C-2nd	8.png
32.0	1	C-3rd	9.png
34.0	1	A-1st	11.png
40.0	1	A-2nd	10.png
42.0	1	A-3rd	1.png
46.0	1	D-1st	7.png
48.0	1	D-2nd	6.png
50.0	1	D-3rd	12.png
52.0	1	B-1st	3.png
58.0	1	B-2nd	4.png
60.0	1	B-3rd	5.png
62.0	1	C-1st	2.png
66.0	1	C-2nd	8.png
68.0	1	C-3rd	9.png
70.0	1	D-1st	7.png
72.0	1	D-2nd	6.png
74.0	1	D-3rd	12.png
78.0	1	B-1st	3.png
80.0	1	B-2nd	4.png
84.0	1	B-3rd	5.png
90.0	1	A-1st	11.png
92.0	1	A-2nd	10.png
96.0	1	A-3rd	1.png
100.0	1	C-1st	2.png
102.0	1	C-2nd	8.png
106.0	1	C-3rd	9.png
108.0	1	B-1st	3.png
110.0	1	B-2nd	4.png
112.0	1	B-3rd	5.png
114.0	1	D-1st	7.png
120.0	1	D-2nd	6.png
122.0	1	D-3rd	12.png
124.0	1	A-1st	11.png
126.0	1	A-2nd	10.png
130.0	1	A-3rd	1.png
132.0	1	C-1st	2.png
134.0	1	C-2nd	8.png
136.0	1	C-3rd	9.png
142.0	1	A-1st	11.png
146.0	1	A-2nd	10.png
148.0	1	A-3rd	1.png
152.0	1	C-1st	2.png
154.0	1	C-2nd	8.png
160.0	1	C-3rd	9.png
162.0	1	B-1st	3.png
166.0	1	B-2nd	4.png
170.0	1	B-3rd	5.png
172.0	1	D-1st	7.png
174.0	1	D-2nd	6.png
178.0	1	D-3rd	12.png
184.0	1	A-1st	11.png
186.0	1	A-2nd	10.png
188.0	1	A-3rd	1.png
192.0	1	B-1st	3.png
194.0	1	B-2nd	4.png
196.0	1	B-3rd	5.png
200.0	1	C-1st	2.png
204.0	1	C-2nd	8.png
208.0	1	C-3rd	9.png
212.0	1	D-1st	7.png
216.0	1	D-2nd	6.png
222.0	1	D-3rd	12.png
