onset	duration	trial_type	stim_file
0.0	1.0	A-1st	4.png
2.0	1.0	A-2nd	1.png
6.0	1.0	A-3rd	6.png
8.0	1.0	D-1st	2.png
16.0	1.0	D-3rd	8.png
18.0	1.0	B-1st	5.png
24.0	1.0	B-2nd	7.png
30.0	1.0	B-3rd	12.png
32.0	1.0	C-1st	11.png
36.0	1.0	C-2nd	3.png
38.0	1.0	C-3rd	9.png
42.0	1.0	D-1st	2.png
44.0	1.0	D-2nd	10.png
46.0	1.0	D-3rd	8.png
50.0	1.0	C-1st	11.png
52.0	1.0	C-2nd	3.png
58.0	1.0	B-1st	5.png
60.0	1.0	B-2nd	7.png
64.0	1.0	B-3rd	12.png
70.0	1.0	A-1st	4.png
74.0	1.0	A-2nd	1.png
76.0	1.0	A-3rd	6.png
80.0	1.0	D-1st	2.png
82.0	1.0	D-2nd	10.png
84.0	1.0	D-3rd	8.png
86.0	1.0	A-1st	4.png
92.0	1.0	A-2nd	1.png
98.0	1.0	C-1st	11.png
100.0	1.0	C-2nd	3.png
102.0	1.0	C-3rd	9.png
106.0	1.0	B-1st	5.png
108.0	1.0	B-2nd	7.png
110.0	1.0	B-3rd	12.png
116.0	1.0	A-1st	4.png
120.0	1.0	A-2nd	1.png
122.0	1.0	A-3rd	6.png
124.0	1.0	C-1st	11.png
128.0	1.0	C-2nd	3.png
132.0	1.0	B-1st	5.png
138.0	1.0	B-2nd	7.png
144.0	1.0	D-1st	2.png
146.0	1.0	D-2nd	10.png
150.0	1.0	D-3rd	8.png
152.0	1.0	B-1st	5.png
156.0	1.0	B-2nd	7.png
158.0	1.0	B-3rd	12.png
160.0	1.0	A-1st	4.png
166.0	1.0	A-2nd	1.png
168.0	1.0	A-3rd	6.png
170.0	1.0	D-1st	2.png
174.0	1.0	D-3rd	8.png
176.0	1.0	C-1st	11.png
182.0	1.0	C-2nd	3.png
184.0	1.0	C-3rd	9.png
188.0	1.0	B-1st	5.png
194.0	1.0	B-2nd	7.png
198.0	1.0	B-3rd	12.png
202.0	1.0	A-1st	4.png
204.0	1.0	A-2nd	1.png
206.0	1.0	A-3rd	6.png
208.0	1.0	C-1st	11.png
210.0	1.0	C-2nd	3.png
216.0	1.0	D-1st	2.png
218.0	1.0	D-2nd	10.png
222.0	1.0	D-3rd	8.png
