onset	duration	trial_type	stim_file
1.0	1	B-1st	8.png
4.0	1	B-2nd	7.png
8.0	1	B-3rd	1.png
14.0	1	A-1st	11.png
16.0	1	A-2nd	12.png
18.0	1	A-3rd	9.png
20.0	1	C-1st	10.png
24.0	1	C-2nd	2.png
26.0	1	C-3rd	5.png
28.0	1	D-1st	4.png
30.0	1	D-2nd	6.png
32.0	1	D-3rd	3.png
34.0	1	C-1st	10.png
38.0	1	C-2nd	2.png
40.0	1	C-3rd	5.png
42.0	1	B-1st	8.png
44.0	1	B-2nd	7.png
46.0	1	B-3rd	1.png
48.0	1	A-1st	11.png
50.0	1	A-2nd	12.png
56.0	1	A-3rd	9.png
58.0	1	D-1st	4.png
64.0	1	D-2nd	6.png
68.0	1	D-3rd	3.png
70.0	1	B-1st	8.png
74.0	1	B-2nd	7.png
76.0	1	B-3rd	1.png
80.0	1	A-1st	11.png
84.0	1	A-2nd	12.png
86.0	1	A-3rd	9.png
90.0	1	C-1st	10.png
92.0	1	C-2nd	2.png
94.0	1	C-3rd	5.png
100.0	1	D-1st	4.png
102.0	1	D-2nd	6.png
104.0	1	D-3rd	3.png
106.0	1	C-1st	10.png
108.0	1	C-2nd	2.png
110.0	1	C-3rd	5.png
112.0	1	D-1st	4.png
114.0	1	D-2nd	6.png
116.0	1	D-3rd	3.png
118.0	1	A-1st	11.png
120.0	1	A-2nd	12.png
122.0	1	A-3rd	9.png
126.0	1	B-1st	8.png
132.0	1	B-2nd	7.png
134.0	1	B-3rd	1.png
138.0	1	A-1st	11.png
142.0	1	A-2nd	12.png
146.0	1	A-3rd	9.png
148.0	1	C-1st	10.png
150.0	1	C-2nd	2.png
154.0	1	C-3rd	5.png
156.0	1	B-1st	8.png
158.0	1	B-2nd	7.png
160.0	1	B-3rd	1.png
164.0	1	D-1st	4.png
166.0	1	D-2nd	6.png
170.0	1	D-3rd	3.png
172.0	1	C-1st	10.png
178.0	1	C-2nd	2.png
184.0	1	C-3rd	5.png
186.0	1	A-1st	11.png
192.0	1	A-2nd	12.png
194.0	1	A-3rd	9.png
198.0	1	D-1st	4.png
202.0	1	D-2nd	6.png
206.0	1	D-3rd	3.png
210.0	1	B-1st	8.png
216.0	1	B-2nd	7.png
222.0	1	B-3rd	1.png
