onset	duration	trial_type	stim_file
0.0	1.0	B-1st	9.png
2.0	1.0	B-2nd	6.png
4.0	1.0	B-3rd	1.png
8.0	1.0	C-1st	2.png
12.0	1.0	C-2nd	12.png
14.0	1.0	C-3rd	8.png
18.0	1.0	A-1st	11.png
20.0	1.0	A-2nd	4.png
22.0	1.0	A-3rd	10.png
26.0	1.0	D-1st	7.png
34.0	1.0	D-3rd	3.png
36.0	1.0	A-1st	11.png
40.0	1.0	A-3rd	10.png
42.0	1.0	B-1st	9.png
48.0	1.0	B-2nd	6.png
52.0	1.0	B-3rd	1.png
56.0	1.0	C-1st	2.png
60.0	1.0	C-2nd	12.png
62.0	1.0	C-3rd	8.png
64.0	1.0	D-1st	7.png
66.0	1.0	D-2nd	5.png
68.0	1.0	D-3rd	3.png
72.0	1.0	A-1st	11.png
76.0	1.0	A-2nd	4.png
80.0	1.0	A-3rd	10.png
84.0	1.0	B-1st	9.png
88.0	1.0	B-2nd	6.png
94.0	1.0	D-1st	7.png
100.0	1.0	D-2nd	5.png
104.0	1.0	C-1st	2.png
106.0	1.0	C-2nd	12.png
110.0	1.0	C-3rd	8.png
112.0	1.0	B-1st	9.png
114.0	1.0	B-2nd	6.png
116.0	1.0	B-3rd	1.png
118.0	1.0	C-1st	2.png
124.0	1.0	C-2nd	12.png
126.0	1.0	C-3rd	8.png
130.0	1.0	D-1st	7.png
132.0	1.0	D-2nd	5.png
134.0	1.0	D-3rd	3.png
136.0	1.0	A-1st	11.png
138.0	1.0	A-2nd	4.png
140.0	1.0	A-3rd	10.png
146.0	1.0	D-1st	7.png
148.0	1.0	D-2nd	5.png
154.0	1.0	B-1st	9.png
160.0	1.0	B-2nd	6.png
164.0	1.0	B-3rd	1.png
166.0	1.0	C-1st	2.png
168.0	1.0	C-2nd	12.png
176.0	1.0	A-1st	11.png
178.0	1.0	A-2nd	4.png
180.0	1.0	A-3rd	10.png
182.0	1.0	C-1st	2.png
188.0	1.0	C-2nd	12.png
190.0	1.0	C-3rd	8.png
192.0	1.0	D-1st	7.png
198.0	1.0	D-2nd	5.png
202.0	1.0	D-3rd	3.png
206.0	1.0	A-1st	11.png
212.0	1.0	A-2nd	4.png
214.0	1.0	A-3rd	10.png
220.0	1.0	B-2nd	6.png
222.0	1.0	B-3rd	1.png
