onset	duration	trial_type	stim_file
1.0	1	D-1st	11.png
2.0	1	D-2nd	2.png
4.0	1	D-3rd	4.png
6.0	1	C-1st	7.png
14.0	1	C-3rd	6.png
16.0	1	B-1st	12.png
20.0	1	B-2nd	3.png
22.0	1	B-3rd	5.png
24.0	1	A-1st	10.png
28.0	1	A-2nd	8.png
30.0	1	A-3rd	9.png
32.0	1	B-1st	12.png
40.0	1	B-3rd	5.png
42.0	1	C-1st	7.png
46.0	1	C-2nd	1.png
48.0	1	C-3rd	6.png
52.0	1	D-1st	11.png
56.0	1	D-2nd	2.png
62.0	1	D-3rd	4.png
64.0	1	A-1st	10.png
70.0	1	A-2nd	8.png
72.0	1	A-3rd	9.png
76.0	1	B-1st	12.png
78.0	1	B-2nd	3.png
82.0	1	B-3rd	5.png
84.0	1	A-1st	10.png
90.0	1	A-2nd	8.png
94.0	1	D-1st	11.png
100.0	1	D-2nd	2.png
106.0	1	D-3rd	4.png
112.0	1	C-2nd	1.png
116.0	1	C-3rd	6.png
118.0	1	B-1st	12.png
120.0	1	B-2nd	3.png
124.0	1	B-3rd	5.png
126.0	1	A-1st	10.png
130.0	1	A-2nd	8.png
132.0	1	A-3rd	9.png
134.0	1	D-1st	11.png
136.0	1	D-2nd	2.png
138.0	1	D-3rd	4.png
140.0	1	C-1st	7.png
142.0	1	C-2nd	1.png
148.0	1	D-1st	11.png
150.0	1	D-2nd	2.png
152.0	1	D-3rd	4.png
154.0	1	B-1st	12.png
156.0	1	B-2nd	3.png
158.0	1	B-3rd	5.png
164.0	1	C-2nd	1.png
166.0	1	C-3rd	6.png
172.0	1	A-1st	10.png
174.0	1	A-2nd	8.png
178.0	1	A-3rd	9.png
180.0	1	D-1st	11.png
182.0	1	D-2nd	2.png
184.0	1	D-3rd	4.png
188.0	1	A-1st	10.png
194.0	1	A-2nd	8.png
198.0	1	A-3rd	9.png
200.0	1	B-1st	12.png
204.0	1	B-2nd	3.png
210.0	1	B-3rd	5.png
216.0	1	C-1st	7.png
220.0	1	C-2nd	1.png
