onset	duration	trial_type	stim_file
1.0	1	D-1st	12.png
2.0	1	D-2nd	10.png
8.0	1	B-1st	11.png
10.0	1	B-2nd	2.png
12.0	1	B-3rd	7.png
14.0	1	A-1st	6.png
16.0	1	A-2nd	3.png
20.0	1	A-3rd	4.png
22.0	1	C-1st	9.png
24.0	1	C-2nd	8.png
28.0	1	B-1st	11.png
34.0	1	B-2nd	2.png
38.0	1	B-3rd	7.png
42.0	1	C-1st	9.png
46.0	1	C-2nd	8.png
48.0	1	C-3rd	1.png
50.0	1	D-1st	12.png
52.0	1	D-2nd	10.png
54.0	1	D-3rd	5.png
56.0	1	A-1st	6.png
62.0	1	A-2nd	3.png
68.0	1	A-3rd	4.png
70.0	1	C-1st	9.png
72.0	1	C-2nd	8.png
74.0	1	C-3rd	1.png
82.0	1	B-2nd	2.png
84.0	1	B-3rd	7.png
90.0	1	A-1st	6.png
92.0	1	A-2nd	3.png
96.0	1	A-3rd	4.png
98.0	1	D-1st	12.png
102.0	1	D-2nd	10.png
110.0	1	A-1st	6.png
112.0	1	A-2nd	3.png
116.0	1	A-3rd	4.png
118.0	1	D-1st	12.png
120.0	1	D-2nd	10.png
124.0	1	D-3rd	5.png
126.0	1	B-1st	11.png
130.0	1	B-2nd	2.png
136.0	1	B-3rd	7.png
140.0	1	C-1st	9.png
144.0	1	C-2nd	8.png
148.0	1	C-3rd	1.png
154.0	1	B-1st	11.png
162.0	1	B-3rd	7.png
164.0	1	C-1st	9.png
166.0	1	C-2nd	8.png
168.0	1	C-3rd	1.png
170.0	1	A-1st	6.png
172.0	1	A-2nd	3.png
174.0	1	A-3rd	4.png
178.0	1	D-1st	12.png
184.0	1	D-2nd	10.png
190.0	1	A-1st	6.png
192.0	1	A-2nd	3.png
196.0	1	A-3rd	4.png
202.0	1	C-1st	9.png
206.0	1	C-2nd	8.png
208.0	1	C-3rd	1.png
210.0	1	B-1st	11.png
214.0	1	B-2nd	2.png
216.0	1	B-3rd	7.png
220.0	1	D-2nd	10.png
222.0	1	D-3rd	5.png
