onset	duration	trial_type	stim_file
0.0	1	B-1st	2.png
4.0	1	B-2nd	7.png
6.0	1	B-3rd	3.png
12.0	1	A-1st	5.png
14.0	1	A-2nd	10.png
16.0	1	A-3rd	1.png
18.0	1	C-1st	6.png
20.0	1	C-2nd	4.png
22.0	1	C-3rd	12.png
24.0	1	D-1st	11.png
26.0	1	D-2nd	9.png
30.0	1	D-3rd	8.png
32.0	1	B-1st	2.png
34.0	1	B-2nd	7.png
38.0	1	B-3rd	3.png
42.0	1	D-1st	11.png
46.0	1	D-2nd	9.png
48.0	1	D-3rd	8.png
52.0	1	C-1st	6.png
56.0	1	C-2nd	4.png
58.0	1	C-3rd	12.png
64.0	1	A-1st	5.png
66.0	1	A-2nd	10.png
68.0	1	A-3rd	1.png
70.0	1	C-1st	6.png
76.0	1	C-2nd	4.png
80.0	1	C-3rd	12.png
84.0	1	B-1st	2.png
88.0	1	B-2nd	7.png
90.0	1	B-3rd	3.png
94.0	1	A-1st	5.png
96.0	1	A-2nd	10.png
102.0	1	A-3rd	1.png
104.0	1	D-1st	11.png
108.0	1	D-2nd	9.png
110.0	1	D-3rd	8.png
112.0	1	B-1st	2.png
114.0	1	B-2nd	7.png
116.0	1	B-3rd	3.png
118.0	1	C-1st	6.png
120.0	1	C-2nd	4.png
126.0	1	C-3rd	12.png
130.0	1	D-1st	11.png
136.0	1	D-2nd	9.png
140.0	1	D-3rd	8.png
142.0	1	A-1st	5.png
148.0	1	A-2nd	10.png
150.0	1	A-3rd	1.png
152.0	1	B-1st	2.png
154.0	1	B-2nd	7.png
156.0	1	B-3rd	3.png
158.0	1	A-1st	5.png
160.0	1	A-2nd	10.png
166.0	1	A-3rd	1.png
168.0	1	C-1st	6.png
172.0	1	C-2nd	4.png
178.0	1	C-3rd	12.png
180.0	1	D-1st	11.png
184.0	1	D-2nd	9.png
188.0	1	D-3rd	8.png
190.0	1	C-1st	6.png
192.0	1	C-2nd	4.png
194.0	1	C-3rd	12.png
196.0	1	D-1st	11.png
198.0	1	D-2nd	9.png
200.0	1	D-3rd	8.png
202.0	1	A-1st	5.png
206.0	1	A-2nd	10.png
208.0	1	A-3rd	1.png
212.0	1	B-1st	2.png
218.0	1	B-2nd	7.png
222.0	1	B-3rd	3.png
