onset	duration	trial_type	stim_file
0.0	1.0	A-1st	2.png
2.0	1.0	A-2nd	10.png
4.0	1.0	A-3rd	4.png
8.0	1.0	C-1st	7.png
12.0	1.0	C-2nd	8.png
16.0	1.0	C-3rd	1.png
18.0	1.0	D-1st	5.png
24.0	1.0	D-2nd	3.png
28.0	1.0	B-1st	9.png
30.0	1.0	B-2nd	6.png
36.0	1.0	C-1st	7.png
38.0	1.0	C-2nd	8.png
40.0	1.0	C-3rd	1.png
44.0	1.0	A-1st	2.png
46.0	1.0	A-2nd	10.png
48.0	1.0	A-3rd	4.png
50.0	1.0	B-1st	9.png
52.0	1.0	B-2nd	6.png
54.0	1.0	B-3rd	11.png
56.0	1.0	D-1st	5.png
60.0	1.0	D-2nd	3.png
62.0	1.0	D-3rd	12.png
64.0	1.0	B-1st	9.png
68.0	1.0	B-2nd	6.png
70.0	1.0	B-3rd	11.png
72.0	1.0	D-1st	5.png
76.0	1.0	D-3rd	12.png
82.0	1.0	C-1st	7.png
86.0	1.0	C-3rd	1.png
88.0	1.0	A-1st	2.png
90.0	1.0	A-2nd	10.png
96.0	1.0	A-3rd	4.png
102.0	1.0	B-1st	9.png
104.0	1.0	B-2nd	6.png
108.0	1.0	B-3rd	11.png
110.0	1.0	C-1st	7.png
114.0	1.0	C-2nd	8.png
116.0	1.0	C-3rd	1.png
118.0	1.0	D-1st	5.png
120.0	1.0	D-2nd	3.png
122.0	1.0	D-3rd	12.png
124.0	1.0	A-1st	2.png
132.0	1.0	A-3rd	4.png
134.0	1.0	B-1st	9.png
138.0	1.0	B-2nd	6.png
142.0	1.0	B-3rd	11.png
148.0	1.0	C-1st	7.png
150.0	1.0	C-2nd	8.png
154.0	1.0	C-3rd	1.png
162.0	1.0	A-2nd	10.png
164.0	1.0	A-3rd	4.png
168.0	1.0	D-1st	5.png
174.0	1.0	D-2nd	3.png
178.0	1.0	D-3rd	12.png
180.0	1.0	B-1st	9.png
186.0	1.0	B-2nd	6.png
194.0	1.0	D-1st	5.png
198.0	1.0	D-2nd	3.png
202.0	1.0	D-3rd	12.png
206.0	1.0	C-1st	7.png
208.0	1.0	C-2nd	8.png
212.0	1.0	C-3rd	1.png
218.0	1.0	A-1st	2.png
220.0	1.0	A-2nd	10.png
222.0	1.0	A-3rd	4.png
