onset	duration	trial_type	stim_file
1.0	1	B-1st	8.png
2.0	1	B-2nd	7.png
6.0	1	B-3rd	9.png
8.0	1	A-1st	6.png
12.0	1	A-2nd	11.png
18.0	1	A-3rd	1.png
20.0	1	D-1st	3.png
22.0	1	D-2nd	4.png
26.0	1	D-3rd	2.png
32.0	1	C-2nd	5.png
36.0	1	C-3rd	12.png
42.0	1	B-1st	8.png
44.0	1	B-2nd	7.png
46.0	1	B-3rd	9.png
48.0	1	C-1st	10.png
50.0	1	C-2nd	5.png
52.0	1	C-3rd	12.png
56.0	1	A-2nd	11.png
58.0	1	A-3rd	1.png
64.0	1	D-1st	3.png
70.0	1	D-3rd	2.png
72.0	1	B-1st	8.png
76.0	1	B-2nd	7.png
82.0	1	B-3rd	9.png
84.0	1	A-1st	6.png
90.0	1	A-2nd	11.png
92.0	1	A-3rd	1.png
96.0	1	D-1st	3.png
98.0	1	D-2nd	4.png
102.0	1	D-3rd	2.png
104.0	1	C-1st	10.png
110.0	1	C-2nd	5.png
114.0	1	A-1st	6.png
118.0	1	A-2nd	11.png
120.0	1	A-3rd	1.png
124.0	1	B-1st	8.png
126.0	1	B-2nd	7.png
128.0	1	B-3rd	9.png
130.0	1	D-1st	3.png
134.0	1	D-2nd	4.png
136.0	1	D-3rd	2.png
140.0	1	C-1st	10.png
142.0	1	C-2nd	5.png
148.0	1	C-3rd	12.png
150.0	1	B-1st	8.png
156.0	1	B-3rd	9.png
162.0	1	C-1st	10.png
168.0	1	C-2nd	5.png
170.0	1	C-3rd	12.png
176.0	1	A-2nd	11.png
182.0	1	A-3rd	1.png
186.0	1	D-1st	3.png
188.0	1	D-2nd	4.png
190.0	1	D-3rd	2.png
192.0	1	B-1st	8.png
196.0	1	B-2nd	7.png
198.0	1	B-3rd	9.png
202.0	1	D-2nd	4.png
206.0	1	D-3rd	2.png
208.0	1	A-1st	6.png
210.0	1	A-2nd	11.png
214.0	1	A-3rd	1.png
216.0	1	C-1st	10.png
218.0	1	C-2nd	5.png
222.0	1	C-3rd	12.png
