onset	duration	trial_type	stim_file
0.0	1	C-3rd	12.png
2.0	1	D-2nd	4.png
6.0	1	A-3rd	1.png
8.0	1	A-1st	6.png
10.0	1	C-1st	10.png
12.0	1	C-2nd	5.png
16.0	1	B-1st	8.png
22.0	1	B-2nd	7.png
24.0	1	D-1st	3.png
26.0	1	B-3rd	9.png
28.0	1	A-2nd	11.png
30.0	1	D-3rd	2.png
34.0	1	B-2nd	7.png
36.0	1	C-2nd	5.png
38.0	1	C-3rd	12.png
42.0	1	A-1st	6.png
46.0	1	A-3rd	1.png
52.0	1	B-1st	8.png
54.0	1	B-3rd	9.png
60.0	1	D-2nd	4.png
66.0	1	C-1st	10.png
70.0	1	A-2nd	11.png
74.0	1	D-3rd	2.png
76.0	1	D-1st	3.png
78.0	1	C-1st	10.png
80.0	1	A-1st	6.png
82.0	1	B-2nd	7.png
84.0	1	A-3rd	1.png
86.0	1	C-3rd	12.png
90.0	1	A-2nd	11.png
92.0	1	B-3rd	9.png
96.0	1	C-2nd	5.png
98.0	1	D-2nd	4.png
100.0	1	D-3rd	2.png
104.0	1	D-1st	3.png
110.0	1	B-1st	8.png
